PWK	C57	AJ	129	WSB	CAS	NZO	NOD
239	0.91	0.85	0.89	0.91	0.96	1	0.78	0.95
240	1.02	0.85	1.02	0.79	0.97	1.05	1.02	1.1
241	1.49	1.19	1.13	1.37	1.26	1.62	1.24	1.17
242	1.07	0.85	1.09	1.17	0.96	0.84	0.93	1
243	0.98	0.85	0.99	1.13	1.07	0.89	0.9	0.95
244	0.97	0.85	0.78	1.19	0.76	0.87	1.05	0.96
245	1	0.85	1.13	1.01	0.97	0.87	1	1.03
246	1.09	1.19	1.15	1.04	1.16	0.99	1.29	0.9
247	1.27	0.85	0.95	0.91	1.08	0.84	0.64	0.84
248	0.89	1.19	1	1.02	0.98	1.15	0.86	1.11
249	0.87	0.85	0.77	1.04	0.79	1.05	1.18	0.91
250	0.89	1.19	1.24	1.12	0.97	0.87	0.92	0.79
251	1.43	0.85	1.06	1.72	1.15	0.59	0.65	1.17
252	1.4	1.19	1.48	1.88	0.98	0.83	2.9	0.85
253	0.91	0.85	1	1.02	0.87	0.88	1.33	1
254	0.99	0.85	1.03	1.03	0.79	0.82	1.02	1.1
255	1.05	1.19	1.24	1	0.97	1.15	1.12	1.49
256	1.47	1.19	1.46	1.82	0.94	0.82	2.82	0.84
257	1.07	0.85	0.98	1.06	0.87	0.96	1.02	0.96
258	0.98	0.85	1.06	0.94	1.08	0.97	1.06	0.84
259	0.86	0.85	1.07	0.72	1.07	1.04	0.85	0.79
260	1.18	1.19	0.97	1.28	0.87	0.9	1.07	1.41
261	1.48	1.19	1.48	1.74	0.98	0.85	2.57	0.87
262	1.22	1.19	1.1	1.16	1.07	0.95	0.93	1.19
263	1.07	0.86	1.4	1.3	1	0.91	1.45	0.87
264	1.53	1.19	1.42	1.82	0.46	0.81	2.2	1.68
265	1.04	1.19	1.15	1.05	1.12	0.98	0.93	1.12
266	0.99	1.19	1.1	1.03	1.07	0.9	1.14	0.86
267	1.07	0.86	1.55	1.45	1.07	0.86	1.77	0.84
268	0.93	0.86	0.88	0.87	0.9	1.03	0.94	0.94
269	1.09	1.19	0.99	0.91	0.97	1.14	0.78	1.07
270	1.36	1.19	1.02	1.26	0.79	0.88	1.31	1.35
271	0.91	0.86	1.06	0.98	1.06	0.83	1.26	0.97
272	0.92	1.18	0.98	1	1.02	0.86	1.03	0.9
273	1.34	0.86	1.1	1.29	0.93	1.04	1.34	1.24
274	1.13	1.18	1.08	1.13	1.07	0.86	1.23	0.89
275	0.96	1.18	0.89	0.9	0.95	1.07	0.74	1.02
276	1.22	1.18	1.25	1.38	1.02	0.91	2.31	0.93
277	0.91	0.86	0.88	0.95	1.22	1.1	0.86	0.79
278	1.05	0.86	1	1.08	0.86	0.89	1.09	0.92
279	1.13	1.18	1.09	0.95	0.96	0.97	0.83	1.07
280	0.98	0.86	0.91	1.12	1.14	1.05	0.82	0.97
281	0.93	1.18	0.87	0.85	0.93	1.14	0.75	0.97
282	1.02	0.86	1	0.99	1	1	1.05	0.98
283	1.04	1.18	1.16	0.99	1	1.04	0.99	1.06
284	1.06	0.86	1.32	1.32	0.98	0.89	1.53	0.9
285	0.89	0.86	1.25	0.85	1.15	0.99	1.08	0.98
286	1.02	1.18	1.25	1.05	1.08	1.09	1.01	1.04
287	1.38	1.18	1.48	1.82	0.99	0.86	2.88	0.9
288	1.01	0.86	1.12	1.17	0.98	0.9	1.21	0.91
289	1	0.86	1.27	1.32	1.04	0.88	1.42	0.85
290	1	1.18	1.18	0.99	1.09	1.05	0.84	1.02
291	1	0.86	0.91	0.93	1.05	1.15	0.9	1.07
292	0.9	1.18	0.93	0.81	1	1.09	0.79	1.03
293	1.42	1.18	1.49	1.83	0.98	0.86	2.97	0.83
294	1.08	0.86	0.96	1.03	0.81	0.97	1.1	1.02
295	1.02	0.86	0.91	1.17	0.94	1	1.09	1.2
296	1.31	0.86	1.14	1.16	0.94	0.94	1.08	1.1
297	0.98	0.86	1.58	0.98	1	0.97	0.83	0.97
298	0.99	1.18	0.85	0.71	1.11	1.04	1.02	0.94
299	1	1.18	1.05	0.9	0.8	0.99	1.15	0.96
300	0.91	0.86	0.93	0.92	0.94	0.91	1	0.98
301	1.05	1.18	0.97	1.04	1.04	0.97	1.02	1.02
302	0.98	0.87	0.89	1.07	0.9	1.21	0.92	1.02
303	1.17	0.87	1.12	1.6	1.1	1.82	1.35	0.99
304	0.98	0.87	1.87	0.99	0.97	1.05	1.15	1.11
305	0.9	0.87	1.02	1.88	0.88	0.71	1.14	1.03
306	1.15	0.87	0.87	0.92	0.85	1	1.17	1
307	1.03	0.87	1.15	1.06	0.87	0.74	1.03	1.08
308	0.91	0.87	0.98	0.92	1	0.94	0.88	0.97
309	1.07	1.17	1.04	0.98	1.06	1.1	0.93	0.96
310	1.01	1.17	0.99	0.94	0.98	0.96	1.11	0.98
311	0.99	1.17	1.29	0.97	1.03	1	1.03	1.14
312	1.09	0.87	1.1	1.01	0.95	1.06	1.1	1.14
313	1.06	1.17	0.97	1.09	1.01	0.91	1.19	1.04
314	1.09	0.87	0.91	0.89	0.83	0.98	1.11	1.07
315	1.08	0.87	1.37	1.29	1.01	0.88	1.43	0.88
316	1.53	1.17	1.47	1.89	0.93	0.84	3	0.8
317	0.82	1.17	0.88	1.06	1	1.04	0.92	0.93
318	0.85	0.87	0.94	0.84	1.12	1.04	0.88	0.94
319	1.08	1.17	1.11	0.87	1.02	0.96	0.94	1.11
320	1.01	1.17	1.2	1.14	1.12	0.97	1.37	0.88
321	1.16	0.87	0.86	1.14	0.73	0.97	0.89	0.98
322	1.13	0.87	1.03	0.91	0.93	0.83	0.87	1.04
323	1	1.17	1.13	0.78	0.91	1.04	1.04	0.99
324	0.93	1.17	0.85	0.94	1.97	1.09	0.86	0.82
325	1.01	0.87	0.95	1.07	0.91	0.9	1.18	1.1
326	1.19	1.17	1.27	1.27	0.95	1.06	1.22	1.11
327	1.01	0.87	1.04	1.03	0.98	0.76	1.12	1.1
328	1.13	0.87	1.41	1.37	1.02	0.89	1.6	0.85
329	1.09	0.87	0.88	1.07	1.01	1	0.45	1.05
330	1	1.17	1.17	0.8	1.14	1.15	0.78	0.93
331	1.09	1.17	1.03	1.02	1.11	1.22	1.24	0.89
332	1.05	0.87	1.06	1.01	0.96	1.02	0.96	1.04
333	0.85	1.17	0.98	0.9	1.07	1.06	0.8	0.95
334	0.94	0.87	0.98	1.15	1.13	0.96	0.92	0.91
335	1.02	0.87	1.31	1.07	1.11	1.12	0.99	0.96
336	1.08	0.87	1.43	1.32	1.04	0.88	1.5	0.87
337	0.94	1.17	1.03	0.82	0.91	1.05	0.8	0.93
338	1.08	1.17	1.07	1.26	0.91	1.09	1.17	1.15
339	1.2	1.17	1.03	1.22	0.96	1.09	1.35	1.2
340	1.25	0.87	1.04	1.04	0.93	1.3	0.76	0.92
341	0.96	0.88	1.01	1.05	1.01	0.93	1.08	0.93
342	1.14	1.16	1.01	1.17	0.95	0.87	0.97	1.17
343	0.92	1.16	0.87	0.97	1.11	1.03	0.89	0.84
344	0.96	1.16	0.99	1	0.83	1.13	1.21	0.99
345	1.01	0.88	0.97	1	1.02	0.92	0.98	0.92
346	1	0.88	1.24	0.91	0.84	0.9	1.05	1.01
347	1.05	0.88	0.99	1.08	0.94	0.91	0.94	1.04
348	1	1.16	1	0.89	1.05	1.01	1.03	0.99
349	1.17	0.88	0.8	1.24	0.86	0.91	0.75	0.97
350	1.43	1.16	1.47	1.81	0.98	0.86	2.69	0.86
351	1.4	1.16	1.45	1.8	0.98	0.83	2.47	0.87
352	1.05	1.16	1.06	0.91	1.04	1	1.05	0.97
353	1.13	0.88	1.4	1.52	1.04	0.76	1.35	0.83
354	1.02	0.88	1.05	1.13	1	1.03	1.21	1.04
355	1.08	0.88	1.11	1.04	0.96	0.96	0.97	0.97
356	1.02	0.88	0.91	0.98	0.93	1.21	0.9	1.05
357	1.11	0.88	0.91	0.82	0.95	0.91	0.74	1.08
358	0.97	1.16	0.99	1.03	1.04	1.18	1.67	1.11
359	1.03	0.88	0.87	0.96	0.91	0.88	0.92	0.97
360	0.96	1.16	1.09	0.89	1.05	0.98	0.87	1.06
361	1.18	1.16	1.07	0.92	0.99	1.07	1.29	1.08
362	0.79	1.16	0.98	0.88	1.03	1.03	0.81	1.08
363	1.06	0.88	0.91	1.07	0.94	0.81	1.1	1.02
364	1.05	0.88	0.81	0.98	0.89	1.13	0.92	1.07
365	0.82	1.16	1.02	0.82	1	1.14	1.04	1.02
366	0.9	0.88	2.52	1.13	1.11	0.98	0.89	1.01
367	0.91	0.88	0.99	0.95	1	0.94	1.05	0.89
368	0.95	1.16	1.04	0.99	1.14	1.03	0.96	0.99
369	0.97	0.88	1.21	1.25	0.9	0.91	1.05	0.86
370	1.45	1.16	1.25	1.4	1.01	0.87	1.74	0.88
371	0.9	1.16	0.98	0.87	0.95	1.1	0.83	0.91
372	0.97	0.88	1.13	1.05	1.04	1.01	1.13	1
373	1.12	0.88	1.26	1.44	0.95	0.9	1.66	0.9
374	0.9	1.16	1.01	0.94	1.16	1.23	0.86	1
375	1.41	1.16	1.42	1.8	0.97	0.84	2.61	0.87
376	0.92	0.88	1.19	1.27	0.97	0.94	1.29	0.9
377	0.93	0.88	0.99	0.94	0.94	1.06	0.99	1.02
378	0.9	0.88	1.03	0.91	1.07	1.01	0.97	0.95
379	0.93	1.16	1.07	1.06	0.96	1.09	0.98	0.93
380	1.56	1.16	1.54	1.62	0.66	1.01	2.15	1.5
381	1.02	1.15	1.18	0.95	1.13	1.2	0.88	0.89
382	1	1.15	0.96	0.93	1.04	0.98	1.11	0.96
383	0.92	0.88	1	1.18	0.95	0.79	0.94	0.94
384	0.99	0.88	0.92	1	1.02	1.11	0.89	1.04
385	0.9	0.88	0.78	1.01	0.83	0.89	0.91	1.1
386	1.19	0.88	1.1	1.14	0.99	0.98	1.29	1.12
387	0.95	1.15	0.9	0.86	1.18	1.2	1.04	0.99
388	1	0.88	0.96	0.83	1.06	0.98	0.84	0.96
389	1.02	0.88	1.01	0.96	1.07	0.95	0.85	1.01
390	1.11	1.15	0.98	1.23	0.82	0.86	0.96	1.39
391	0.96	0.88	0.99	0.89	1.02	0.9	0.85	1
392	1.1	1.15	1.09	1.16	1.11	1.22	0.89	1.04
393	0.46	0.88	0.77	1.13	0.96	2.5	1.79	0.96
394	1.05	0.88	1.39	1.34	0.99	0.88	1.51	0.86
395	1.11	0.88	1.41	1.34	1	0.85	1.64	0.84
396	1.17	1.15	0.97	1.3	0.87	0.81	1.12	1.63
397	1.16	0.88	0.85	1.04	0.94	0.86	0.9	1.3
398	0.92	0.88	1.01	0.93	1	1.07	0.96	0.91
399	1.22	1.15	0.99	1.18	0.87	0.83	0.98	1.2
400	1.02	1.15	0.94	1	1.05	1.07	0.96	0.96
401	1.1	0.89	1.15	0.98	0.74	0.83	0.86	1.3
402	0.95	1.15	0.97	1	1.12	1.05	1.05	0.92
403	1.1	1.15	1.04	0.92	0.94	1.07	0.98	1.04
404	0.99	0.89	0.95	1.04	1.05	0.98	0.9	1.05
405	1.12	0.89	1.01	1.56	1.11	0.84	0.77	1.02
406	0.94	0.89	1.1	0.98	0.87	1.08	0.85	0.82
407	1.09	0.89	1.24	1.26	1.01	0.86	1.5	0.9
408	1.17	0.89	0.99	1.73	0.64	0.95	0.87	1.03
409	0.88	0.89	0.76	1.2	1.09	0.87	0.74	1.01
410	1.05	0.89	1.25	1.15	1.05	0.97	1.12	0.98
411	1.34	0.89	2.7	1.94	0.82	1.28	0.39	1.15
412	1.04	0.89	1.33	1.18	1.04	0.96	1.25	0.98
413	1.08	0.89	1.05	1.06	1.12	0.95	1.05	0.94
