PWK	C57	AJ	129	WSB	CAS	NZO	NOD
Pf4	0.29	-0.25	-0.13	1.01	-0.67	-0.35	-0.43	0.11
Rab1b	0.02	0.27	0.42	0.17	0	0.21	0.8	-0.15
Sympk	0.06	-0.25	0.12	0.17	0.07	0.16	-0.3	0.08
Smim20	0.09	-0.25	0.27	0.28	-0.04	-0.16	0	0
Igf2bp2	0.02	0.27	-0.16	-0.23	-0.17	-0.29	-0.57	0.08
Kbtbd12	0	0.27	0.16	0.06	0.29	0.13	-0.15	0.05
Slc8a1	0.19	0.27	0.25	0	0.08	0.1	0.28	0.02
Hrc	0.27	-0.25	0.08	0.13	-0.23	-0.3	0.23	0.3
Fam162a	0.02	-0.25	0.03	0.13	-0.09	-0.09	0.28	-0.02
Rbm24	-0.01	-0.25	-0.01	0.11	-0.13	-0.5	0.07	0.08
Hexb	0.13	-0.25	0.37	0.35	0.43	-0.12	0.32	0.15
Igkv12.41	0.02	0.27	0.11	0.56	1.29	1.22	0.34	-0.52
Hhatl	0.03	0.27	0.3	0.23	0.03	-0.05	0.09	0.19
Gja1	-0.25	-0.24	-0.11	-0.2	-0.08	-0.18	-0.31	0.11
Acad11	-0.01	0.27	0.16	0.09	0.11	0	-0.13	0.09
Art3	-0.15	0.27	0.13	-0.04	-0.15	-0.32	0.28	-0.27
Adamtsl4	0.14	-0.24	-0.25	0.03	0.04	-0.18	0.05	0.24
Vdac2	-0.07	-0.24	0.22	0.23	0.05	-0.12	0.22	-0.19
Myom3	0.21	-0.24	-0.1	0.26	-0.13	-0.23	1.38	0.11
Gc	0.57	0.26	0.16	0.37	0.2	0.48	0.79	0.4
Got2	0.3	0.26	-0.01	0.31	-0.22	-0.32	-0.17	0.44
Vdac3	-0.06	-0.24	0.26	0.25	0.05	-0.13	0.21	-0.18
Aifm2	0.26	0.26	0	0.07	-0.06	0.08	-0.07	0.13
Coa3	0.06	-0.24	-0.01	0.22	-0.01	-0.08	0.47	-0.01
Cap1	0.11	0.26	0.17	0.47	-0.44	-0.17	0.49	0.09
Thoc6	-0.07	-0.24	-0.09	-0.06	0.12	0.03	-0.06	-0.1
Hspb7	0	0.26	0.12	-0.04	-0.01	0.12	0.46	0.06
Slc25a5	0.05	-0.24	0.14	-0.01	-0.04	-0.04	-0.06	0.06
Ifi205a	0.94	0.26	0.77	0.16	0.56	0.54	1.06	0.13
Lmcd1	0.19	0.26	-0.07	0.08	0.03	0	0.39	0.1
Bag3	-0.02	0.26	0.06	-0.03	0.06	0.19	0.17	-0.06
Pcyt1a	-0.04	-0.24	-0.09	-0.28	-0.36	-0.05	-0.17	0.26
Myl2	-0.03	0.26	0.02	0.06	0.23	0.07	0.15	-0.17
Spag9	-0.25	0.26	0.16	0.01	0.17	0.1	0.03	-0.05
Mrps7	0.35	-0.23	0.37	0.2	-0.06	0.09	0.1	0.16
Ahnak	-0.14	-0.23	-0.18	-0.13	-0.06	0	-0.37	-0.07
Dek	0.03	-0.23	0.03	-0.33	-0.05	0.07	0.02	0.14
Plg	0.57	0.26	0.17	0.45	0.34	0.69	0.31	0.23
Lrpprc	0.09	-0.23	0.13	0.23	-0.06	-0.25	-0.11	0
Abce1	-0.02	-0.23	-0.02	0.18	0.1	-0.17	-0.16	-0.08
Angptl2	-0.05	-0.23	-0.36	0.26	-0.39	-0.21	0.07	-0.06
Pym1	0	-0.23	0.17	0.02	-0.04	-0.21	0.01	0.05
Cav3	0.12	0.26	0.2	0.06	0.21	-0.02	0.36	-0.15
Rtn2	0.35	-0.23	-0.08	-0.14	0.11	-0.25	-0.64	-0.26
Ints5	-0.17	0.25	0	0.03	-0.03	0.21	-0.21	0.15
Nop2	-0.2	-0.23	-0.37	0.06	-0.34	0.06	0.24	-0.13
Tmem245	-0.17	0.25	0.31	0.16	-0.04	-0.2	-0.12	-0.35
Hadh	0.52	-0.23	0.09	0.78	0.2	-0.76	-0.61	0.22
Atp5me	0.48	0.25	0.56	0.91	-0.03	-0.27	1.54	-0.23
Armc10	-0.14	-0.23	0	0.02	-0.19	-0.18	0.41	0
Sntb1	-0.02	-0.23	0.04	0.04	-0.34	-0.29	0.03	0.14
Dpep1	0.07	0.25	0.31	0	-0.04	0.2	0.17	0.58
Atp5h	0.55	0.25	0.54	0.86	-0.09	-0.28	1.49	-0.25
Csnk2b	0.09	-0.23	-0.03	0.08	-0.2	-0.06	0.03	-0.05
Psmc2	-0.02	-0.23	0.09	-0.1	0.1	-0.04	0.08	-0.25
Prkaca	-0.22	-0.23	0.09	-0.47	0.1	0.06	-0.23	-0.35
Etfdh	0.24	0.25	-0.04	0.35	-0.2	-0.15	0.1	0.5
Atp5po	0.56	0.25	0.57	0.8	-0.03	-0.24	1.36	-0.21
Col6a6	0.28	0.25	0.14	0.21	0.1	-0.08	-0.11	0.25
Gm11273	0.1	-0.22	0.49	0.38	0	-0.13	0.54	-0.2
Epb42	0.62	0.25	0.5	0.86	-1.12	-0.31	1.14	0.75
Hsd17b4	0.06	0.25	0.2	0.08	0.17	-0.03	-0.11	0.16
